"","Fish_id","Species","Captured_date","Motu_Exposure","Motu","Exposure","Side","Processed_by","TL_cm","SL_cm","FL_cm","Weight_g","Liver_weight_g","Gonad_weight_g","Sex","Stage_description","Stage_f","Muscle_N15","Muscle_C13","Muscle_N","Muscle_C","Poo_N15","Poo_C13","Poo_N","Poo_C","Otolith_weight","Age","HSI","GSI","K","Muscle_CN","Poo_CN"
"1","AIE52","Acanthurus triostegus","1-Dec-23","AIE_leeward","AIE","leeward","SOUTH","CB",16.3,14.1,NA,107.95,0.55,2,"female","non-gravid (smooth)","non_gravid",8.94,-11.26,14.64,45.69,5.26,-10.02,3.96,30.99,0.0124,10,0.509495136637332,1.85270958777212,2.49264156968763,3.12090163934426,7.82575757575758
"2","AIE53","Acanthurus triostegus","1-Dec-23","AIE_leeward","AIE","leeward","SOUTH","CB&TK",14.7,13,NA,85.42,0.9,2.42,"female","almost gravid (a bit bumpy, no obvious eggs)","almost_gravid",8.71,-10.9,14.64,46.01,5.09,-10.04,2.75,24.06,0.0116,10,1.05361741980801,2.83306017326153,2.68910377793581,3.14275956284153,8.74909090909091
"3","AIE54","Acanthurus triostegus","1-Dec-23","AIE_leeward","AIE","leeward","SOUTH","CB&TK",13.2,11.5,NA,65.9,0.53,1.68,"female","almost gravid (a bit bumpy, no obvious eggs)","almost_gravid",9.47,-10.98,14.4,45.77,7.19,-11.77,8.43,37.81,0.0071,2,0.804248861911988,2.54931714719272,2.86525725575312,3.17847222222222,4.48517200474496
"4","AIE55","Acanthurus triostegus","1-Dec-23","AIE_leeward","AIE","leeward","SOUTH","CB&TK",14.5,12.2,NA,79.4,0.79,4.84,"female","almost gravid (a bit bumpy, no obvious eggs)","almost_gravid",9.72,-12.07,14.38,45.38,7.4,-12.87,5.46,33.39,0.0112,6,0.994962216624685,6.09571788413098,2.60445282709418,3.1557719054242,6.11538461538462
"5","AIE56","Acanthurus triostegus","1-Dec-23","AIE_leeward","AIE","leeward","SOUTH","CB&TK",13,11.3,NA,58.5,0.43,NA,"male_or_immature","",NA,9.94,-12.63,14.39,45.67,8.72,-12.86,5.63,29.64,0.0085,5,0.735042735042735,NA,2.66272189349112,3.17373175816539,5.26465364120782
"6","AIE57","Acanthurus triostegus","1-Dec-23","AIE_leeward","AIE","leeward","SOUTH","CB&TK",15.8,13.4,NA,88.24,0.9,2.34,"female","almost gravid (a bit bumpy, no obvious eggs)","almost_gravid",10,-11.92,14.17,44.72,7.86,-12.03,3.55,28.95,0.0121,7,1.01994560290118,2.65185856754306,2.23714554021081,3.15596330275229,8.15492957746479
"7","AIE58","Acanthurus triostegus","1-Dec-23","AIE_leeward","AIE","leeward","SOUTH","CB",13,11.4,NA,61.93,0.76,0.55,"female","almost gravid (a bit bumpy, no obvious eggs)","almost_gravid",11.65,-10.86,14.38,45.39,7.83,-10.26,2.9,24.39,0.0054,2,1.22719199095753,0.88809946714032,2.81884387801548,3.15646731571627,8.41034482758621
"8","AIE59","Acanthurus triostegus","1-Dec-23","AIE_leeward","AIE","leeward","SOUTH","CB",12.4,10.6,NA,53.6,0.42,0.67,"female","almost gravid (a bit bumpy, no obvious eggs)","almost_gravid",9.64,-12.06,14.37,45.59,5.76,-10.15,2.12,22.63,0.005,2,0.783582089552239,1.25,2.81125172031822,3.17258176757133,10.6745283018868
"9","RIM36","Acanthurus triostegus","28-Nov-23","RIMATUU_leeward","RIMATUU","leeward","WEST","CB",14.6,12.9,NA,85.8,0.65,2.39,"female","gravid","gravid",7.18,-12.29,14.3,44.9,6.26,-15.45,5.03,33.59,0.01,4,0.757575757575758,2.78554778554779,2.75694892511124,3.13986013986014,6.6779324055666
"10","RIM37","Acanthurus triostegus","28-Nov-23","RIMATUU_leeward","RIMATUU","leeward","WEST","CB",16.6,13.7,NA,97.95,1.02,3.13,"female","gravid","gravid",7.43,-12.81,14.23,44.96,6.67,-13.8,4.25,29.51,0.0175,16,1.04134762633997,3.1955079122001,2.1413131113509,3.15952213633169,6.94352941176471
