"","Motu","Exposure","TransectStart","TransectEnd","TransectID","Number_transects_side","Latitude","Longitude","TransectArea","breeding_density_ha","breeding_biomass_kgha"
"1","Aie","Exposed","0946","0947","0946to0947",3,-17.008796,-149.53574,525,533.333333333333,160.685714285714
"2","Aie","Exposed","0947","0948","0947to0948",3,-17.009192,-149.53487,355,1633.80281690141,308.788732394366
"3","Aie","Exposed","0945","0946","0945to0946",3,-17.008176,-149.53641,545,1871.55963302752,368.146788990826
"4","Aie","Protected","0950","0945","0950to0945",3,-17.007728,-149.5354,630,2333.33333333333,752.904761904762
"5","Aie","Protected","0949","0950","0949to0950",3,-17.008365,-149.53474,575,539.130434782609,156.573913043478
"6","Aie","Protected","0948","0949","0948to0949",3,-17.009101,-149.53424,590,694.915254237288,224.593220338983
"7","Reiono","Exposed","1149","1150","1149to1150",9,-17.045838,-149.54412,505,0,0
"8","Reiono","Exposed","1148","1149","1148to1149",9,-17.046734,-149.54411,500,0,0
"9","Reiono","Exposed","1143","1144","1143to1144",9,-17.049605,-149.54665,510,0,0
"10","Reiono","Exposed","1144","1145","1144to1145",9,-17.049504,-149.54571,510,0,0
"11","Reiono","Exposed","1145","1146","1145to1146",9,-17.049146,-149.54485,530,56.6037735849057,55.188679245283
"12","Reiono","Exposed","1146","1147","1146to1147",9,-17.048512,-149.54418,500,0,0
"13","Reiono","Exposed","1147","1148","1147to1148",9,-17.047626,-149.54405,495,80.8080808080808,78.7878787878788
"14","Reiono","Exposed","1150","1151","1150to1151",9,-17.044989,-149.54443,500,60,41.34
"15","Reiono","Exposed","1151","1152","1151to1152",9,-17.044189,-149.54486,540,92.5925925925926,58.5
"16","Reiono","Protected","1139","1140","1139to1140",9,-17.046535,-149.54753,520,115.384615384615,96
"17","Reiono","Protected","1138","1139","1138to1139",9,-17.04564,-149.54762,510,58.8235294117647,41.9411764705882
"18","Reiono","Protected","0837","0838","0837to0838",9,-17.042619,-149.54578,500,220,118.74
"19","Reiono","Protected","0838","0839","0838to0839",9,-17.043409,-149.54623,525,76.1904761904762,14.4
"20","Reiono","Protected","0839","1137","0839to1137",9,-17.044025,-149.54692,505,138.613861386139,135.148514851485
"21","Reiono","Protected","1137","1138","1137to1138",9,-17.044746,-149.54749,535,37.3831775700935,36.4485981308411
"22","Reiono","Protected","1140","1141","1140to1141",9,-17.047411,-149.54772,500,80,60.84
"23","Reiono","Protected","1141","1142","1141to1142",9,-17.048295,-149.54788,505,118.811881188119,115.841584158416
"24","Reiono","Protected","1142","1143","1142to1143",9,-17.049113,-149.5475,550,145.454545454545,141.818181818182
"25","Rimatuu","Exposed","0695","0696","0695to0696",11,-17.033197,-149.55666,510,0,0
"26","Rimatuu","Exposed","0694","0695","0694to0695",11,-17.033539,-149.55752,500,0,0
"27","Rimatuu","Exposed","0692","0693","0692to0693",11,-17.033674,-149.55936,515,58.252427184466,6.81553398058252
"28","Rimatuu","Exposed","0693","0694","0693to0694",11,-17.03376,-149.55843,505,19.8019801980198,2.31683168316832
"29","Rimatuu","Exposed","0696","0697","0696to0697",11,-17.032734,-149.55585,495,40.4040404040404,6.18181818181818
"30","Rimatuu","Exposed","0697","0698","0697to0698",11,-17.031986,-149.55534,505,19.8019801980198,2.31683168316832
