,Fish_id,Species,Captured_date,Motu_Exposure,Motu,Exposure,Side,Processed_by,TL_cm,SL_cm,FL_cm,Weight_g,Liver_weight_g,Gonad_weight_g,Sex,Stage_description,Stage_f,Muscle_N15,Muscle_C13,Muscle_N,Muscle_C,Poo_N15,Poo_C13,Poo_N,Poo_C,Otolith_weight,Age,HSI,GSI,K,Muscle_CN,Poo_CN
1,AIE60,Stegastes nigricans,1-Dec-23,AIE_leeward,AIE,leeward,SOUTH,CB,13.5,10.5,12,64.44,0.25,0.03,male,,NA,10.25,-12.78,14.13,45.03,7.1,-4.8,1.2,15.66,0.0161,8,0.38795779,0.046554935,2.61911294,3.186836518,13.05
2,AIE61,Stegastes nigricans,1-Dec-23,AIE_leeward,AIE,leeward,SOUTH,CB,14,10.9,12,65.47,0.44,0.09,male,,NA,9.69,-12.01,14.29,46.06,6.72,-6.93,1.79,18.58,0.0163,6,0.672063541,0.137467542,2.385932945,3.22323303,10.37988827
3,AIE62,Stegastes nigricans,1-Dec-23,AIE_leeward,AIE,leeward,SOUTH,CB,12.5,9.9,11.1,47.14,0.16,NA,unknown,,NA,9.4,-11.59,14.41,45.7,6.58,-4.3,1.36,15.89,0.0101,3,0.33941451,NA,2.413568,3.171408744,11.68382353
4,AIE63,Stegastes nigricans,1-Dec-23,AIE_leeward,AIE,leeward,SOUTH,CB,10.5,8.1,9.2,26.76,0.15,NA,unknown,,NA,11,-12.58,14.15,45.4,9.04,-5.99,1.61,16.95,0.0071,3,0.560538117,NA,2.311629414,3.208480565,10.52795031
5,AIE64,Stegastes nigricans,1-Dec-23,AIE_leeward,AIE,leeward,SOUTH,CB,8.3,6.4,7.4,10.75,0.03,NA,unknown,,NA,9.89,-11.13,13.93,44.61,7.76,-6.55,2.08,18.72,0.0045,1,0.279069767,NA,1.880070726,3.202440775,9
6,RIM35,Stegastes nigricans,28-Nov-23,RIMATUU_leeward,RIMATUU,leeward,WEST,CB,10,7.9,9,21,0.18,NA,male_or_immature,,NA,8.33,-11.53,14.08,45.07,7.52,-8.34,2.06,19.73,0.0072,3,0.857142857,NA,2.1,3.200994318,9.577669903
7,RIM50,Stegastes nigricans,30-Nov-23,RIMATUU_windward,RIMATUU,windward,EAST,TK,8.3,6.3,7.7,12.9,0.03,0.28,female,"almost gravid (a bit bumpy, no obvious eggs)",almost_gravid,14.41,-13.88,14.15,45.49,13.65,-10.36,2.9,22.19,0.0051,2,0.23255814,2.170542636,2.256084871,3.214840989,7.651724138
8,RIM51,Stegastes nigricans,30-Nov-23,RIMATUU_windward,RIMATUU,windward,EAST,TK,12,9.5,10.5,42.25,0.42,NA,unknown,,NA,11.93,-13.3,14.35,45.78,10.21,-10.37,2.98,22.3,0.0096,4,0.99408284,NA,2.445023148,3.190243902,7.483221477
9,RIM52,Stegastes nigricans,30-Nov-23,RIMATUU_windward,RIMATUU,windward,EAST,TK,11.2,8.4,10,29.53,0.34,NA,unknown,,NA,12.21,-13.74,14.49,46.05,10.09,-9.96,2.39,20.38,0.0092,4,1.151371487,NA,2.101887072,3.17805383,8.527196653
10,RIM53,Stegastes nigricans,30-Nov-23,RIMATUU_windward,RIMATUU,windward,EAST,TK,12.1,9.2,10.8,40.67,0.22,0.13,female,non-gravid (smooth),non_gravid,11.24,-12.86,14.47,46.34,8.84,-4.76,1.31,15.79,0.0117,5,0.540939267,0.319645931,2.295715474,3.202487906,12.05343511
11,RIM54,Stegastes nigricans,30-Nov-23,RIMATUU_windward,RIMATUU,windward,EAST,TK,11.9,9.2,10.7,33.46,0.32,0.31,female,gravid,gravid,11.29,-12.36,14.22,45.16,8.12,-5.85,1.33,16.85,0.0102,4,0.95636581,0.926479378,1.985569314,3.17580872,12.66917293
12,RIM55,Stegastes nigricans,30-Nov-23,RIMATUU_windward,RIMATUU,windward,EAST,TK,12.5,10,10.7,42,0.47,0.19,female,smooth,NA,11.37,-13.03,14.37,45.84,8.98,-5.92,1.6,17.09,0.0109,4,1.119047619,0.452380952,2.1504,3.189979123,10.68125
13,REI38,Stegastes nigricans,29-Nov-23,REIONO_leeward,REIONO,leeward,WEST,TK,14.2,11.1,12.7,61.51,0.54,NA,male_or_immature,,NA,10.78,-12.1,14.51,45.89,8.96,-6.39,1.89,18.32,0.0127,4,0.877906032,NA,2.148229588,3.162646451,9.693121693
14,REI39,Stegastes nigricans,29-Nov-23,REIONO_leeward,REIONO,leeward,WEST,TK,15,11.4,13.2,84.38,0.54,0.3,male,2 smooth,NA,11.67,-13.26,14.57,46.04,9.5,-7.72,2.19,19.24,0.0232,13,0.639962076,0.355534487,2.500148148,3.159917639,8.785388128
15,REI40,Stegastes nigricans,29-Nov-23,REIONO_leeward,REIONO,leeward,WEST,TK,9.7,7.5,8.5,17.29,0.13,NA,male_or_immature,,NA,11.02,-12.42,14.2,45.56,9.65,-7.07,2.2,19.01,0.006,3,0.751879699,NA,1.894435356,3.208450704,8.640909091
16,REI41,Stegastes nigricans,29-Nov-23,REIONO_leeward,REIONO,leeward,WEST,TK,14.3,10.8,12.5,72.05,0.16,0.07,male,2 smooth tubes,NA,10.69,-11.53,14.47,45.5,8.09,-4.54,1.48,16.7,0.0197,11,0.222068008,0.097154754,2.463915858,3.144436766,11.28378378
17,REI42,Stegastes nigricans,29-Nov-23,REIONO_leeward,REIONO,leeward,WEST,TK,12.4,9.5,11,43.26,0.25,NA,male_or_immature,,NA,10.32,-12.23,14.38,45.84,9.13,-6.7,2,18.51,0.0101,3,0.577901063,NA,2.268931892,3.187760779,9.255
18,REI47,Stegastes nigricans,2-Dec-23,REIONO_windward,REIONO,windward,EAST,TK&CB,13.7,10.8,12,68.64,0.25,0.14,male,,NA,11.41,-13.67,14.48,45.7,7.97,-8.62,1.6,18.64,0.0157,7,0.364219114,0.203962704,2.669411784,3.156077348,11.65
19,REI48,Stegastes nigricans,2-Dec-23,REIONO_windward,REIONO,windward,EAST,TK&CB,7,5.3,6.5,7.35,NA,NA,male_or_immature,,NA,10.72,-12.21,14.01,44.87,7.72,-5.03,1.19,15.98,0.0032,1,NA,NA,2.142857143,3.202712348,13.42857143
20,REI49,Stegastes nigricans,2-Dec-23,REIONO_windward,REIONO,windward,EAST,TK&CB,9,8,7,17.74,0.05,NA,male_or_immature,,NA,10.08,-11.8,14.26,45.29,7.01,-6,1.29,16.8,0.0061,2,0.281848929,NA,2.433470508,3.17601683,13.02325581
21,REI50,Stegastes nigricans,30-Nov-23,REIONO_windward,REIONO,windward,EAST,TK&CB,10.2,7.7,9.1,24.36,0.12,0,male,,NA,10.42,-12.27,14.34,45.83,7.4,-5.86,1.43,16.75,0.007,2,0.492610837,0,2.295497207,3.19595537,11.71328671
22,REI51,Stegastes nigricans,30-Nov-23,REIONO_windward,REIONO,windward,EAST,TK&CB,12.9,10.1,11.4,51.3,0.24,0.19,female,gravid,gravid,10.49,-12.78,14.4,45.45,6.97,-6.12,1.18,16.49,0.0196,12,0.467836257,0.37037037,2.389726691,3.15625,13.97457627
23,AIE72,Stegastes nigricans,2-Dec-23,AIE_windward,AIE,windward,NORTH,TK&CB,10.8,8.2,9.5,28.81,0.16,0,male_or_immature,,NA,9.29,-11.1,14.11,44.91,7.5,-6.08,2.2,18.92,0.008,4,0.555362721,0,2.287030686,3.182849043,8.6
24,AIE73,Stegastes nigricans,2-Dec-23,AIE_windward,AIE,windward,NORTH,TK&CB,9,6.8,8,13.9,NA,NA,male_or_immature,,NA,9.12,-10.78,14.28,45.34,7.55,-6.13,2.08,18.59,0.005,2,NA,NA,1.906721536,3.175070028,8.9375
25,AIE74,Stegastes nigricans,2-Dec-23,AIE_windward,AIE,windward,NORTH,TK&CB,10,7.1,9,25.9,0.16,NA,male_or_immature,,NA,9.58,-11.03,14.27,45.44,7.85,-6.26,2.22,18.8,0.0079,4,0.617760618,NA,2.59,3.184302733,8.468468468
