sample_id,collection_date,motu,waypoint,sample_type,species,date_dried,notes,analysis-id,sample-id-isotopes,15N,13C,N%,C%,dup15n,dup13c,dupn%,dupc%,trip15n,trip13c,tripn%,tripc%
AIE-1,1-Dec-23,Aie,1,algae,turbinaria,1-Dec-23,,240516 Tray 02 F3.raw,T80_AIE-001,10.32,-11.31,0.35,27.2,,,,,,,,
AIE-2,1-Dec-23,Aie,2,algae,turbinaria,1-Dec-23,,240517 Tray 03 A11.raw,T89_AIE-002,9.23,-9.8,0.54,28.39,,,,,,,,
AIE-3,1-Dec-23,Aie,3,algae,turbinaria,1-Dec-23,,240516 Tray 02 F2.raw,T79_AIE-003,14.41,-6.98,0.67,27.87,,,,,,,,
AIE-4,1-Dec-23,Aie,4,algae,turbinaria,1-Dec-23,,240522 Tray 05 A4.raw,T147_AIE-004,12.33,-7.82,0.61,28.05,,,,,,,,
AIE-5,1-Dec-23,Aie,5,algae,turbinaria,1-Dec-23,,240516 Tray 02 F1.raw,T78_AIE-005,10.61,-8.46,0.59,30.14,,,,,,,,
AIE-6,1-Dec-23,Aie,6,algae,turbinaria,1-Dec-23,,240522 Tray 04 B3.raw,T132_AIE-006,9.77,-8.36,0.53,29.42,,,,,,,,
AIE-7,1-Dec-23,Aie,7,algae,turbinaria,1-Dec-23,,240522 Tray 05 A7.raw,T150_AIE-007,8.4,-9.51,0.46,27.68,,,,,,,,
AIE-8,1-Dec-23,Aie,8,algae,turbinaria,1-Dec-23,,240522 Tray 04 C4.raw,T134_AIE-008,8.96,-9.56,0.45,26.22,,,,,,,,
AIE-9,1-Dec-23,Aie,9,algae,turbinaria,1-Dec-23,,240522 Tray 05 A1.raw,T146_AIE-009,9.27,-9.48,0.48,27.72,9.26,-9.58,0.48,27.9,9.22,-9.49,0.5,28.2
REI-21,29-Nov-23,Reiono,21,algae,turbinaria,29-Nov-23,,240515 Tray 01 E5.raw,T29_REI-021,13.66,-9.39,0.57,25.48,,,,,,,,
REI-22,29-Nov-23,Reiono,22,algae,turbinaria,29-Nov-23,,240522 Tray 04 C9.raw,T139_REI-022,15.93,-8.86,0.59,25.47,,,,,,,,
