Motu,Purpose,Side,GPS_name,Longitude,Latitude
Aie,ATA,windward,1,-149.53615,-17.007784
Aie,ATA,windward,2,-149.53531,-17.007676
Aie,ATA,leeward,3,-149.53628,-17.008439
Aie,ATA,leeward,4,-149.53595,-17.008785
Aie,ATA,leeward,5,-149.53555,-17.009067
Aie,ATA,leeward,6,-149.53516,-17.009275
Aie,ATA,leeward,7,-149.53466,-17.009355
Aie,ATA,leeward,8,-149.53421,-17.00927
Aie,ATA,windward,9,-149.53411,-17.008865
Rimatuu,ATA,windward,10,-149.55547,-17.032409
Rimatuu,ATA,windward,11,-149.55524,-17.032024
Rimatuu,ATA,windward,12,-149.55504,-17.031547
Rimatuu,ATA,windward,13,-149.55481,-17.031156
Rimatuu,ATA,windward,14,-149.55454,-17.030778
Rimatuu,ATA,windward,15,-149.55427,-17.030427
Rimatuu,ATA,windward,16,-149.554,-17.030026
Rimatuu,ATA,windward,17,-149.55371,-17.029681
Rimatuu,ATA,windward,18,-149.55331,-17.029312
Rimatuu,ATA,windward,19,-149.55298,-17.02898
Rimatuu,ATA,windward,20,-149.55263,-17.028699
Reiono,ATA,windward,21,-149.54454,-17.044467
Reiono,ATA,windward,22,-149.54485,-17.044063
Reiono,ATA,windward,23,-149.54498,-17.043606
Reiono,ATA,windward,24,-149.54521,-17.043198
Reiono,ATA,windward,25,-149.54533,-17.042745
Reiono,ATA,leeward,26,-149.54579,-17.042577
Reiono,ATA,leeward,27,-149.54608,-17.042946
Reiono,ATA,leeward,28,-149.54628,-17.043375
Reiono,ATA,leeward,29,-149.54658,-17.043783
Reiono,ATA,leeward,30,-149.54696,-17.043988
Reiono,ATA,leeward,31,-149.54726,-17.044271
Reiono,ATA,leeward,32,-149.54774,-17.044811
Reiono,ATA,leeward,33,-149.54775,-17.045259
Reiono,ATA,leeward,34,-149.54777,-17.045875
Reiono,ATA,leeward,35,-149.54768,-17.046318
Reiono,ATA,leeward,36,-149.54761,-17.04688
Reiono,ATA,leeward,37,-149.54775,-17.047306
Reiono,ATA,leeward,38,-149.54788,-17.047732
Reiono,ATA,leeward,39,-149.54793,-17.04819
Reiono,ATA,leeward,40,-149.54795,-17.048676
